poll_id,cycle,pollster,commissioner,fieldwork_start,fieldwork_end,sample_size,turnout,is_election,ALIANCA,BILDU,BNG,CC,COMPROMIS,CS,CUP,ERC,EV,IU,JUNTS,MASPAIS,PACMA,PNV,PODEMOS,PP,PRC,PSOE,SALF,SUMAR,TE,UP,UPN,VOX
e2016-0002,e2016,IMOP,Llorente & Cuenca,2016-01-09,2016-01-11,1000.0,69.0,False,,0.9,,,,11.8,,2.3,,3.4,1.8,,,1.2,19.5,31.4,,23.5,,,,,,
e2016-0003,e2016,Simple Lógica,,2016-01-04,2016-01-12,1050.0,77.1,False,,,,,,14.7,,,,4.8,,,,,21.3,30.0,,20.4,,,,,,
e2016-0004,e2016,Metroscopia,El País,2016-01-12,2016-01-14,1200.0,76.4,False,,,,,,16.6,,,,3.2,,,,,22.5,29.0,,21.1,,,,,,
e2016-0007,e2016,Celeste-Tel,eldiario.es,2016-01-04,2016-01-15,1100.0,67.5,False,,0.9,,0.3,,12.6,,2.5,,3.3,2.1,,1.0,1.1,22.1,30.2,,21.9,,,,,,
e2016-0012,e2016,GAD3,ABC,2016-01-15,2016-01-21,802.0,70.0,False,,1.1,,0.3,,13.4,,2.4,,2.9,2.1,,,1.1,20.0,30.1,,21.3,,,,,,
e2016-0013,e2016,NC Report,La Razón,2016-01-04,2016-01-21,1900.0,65.6,False,,0.8,,0.3,,12.0,,2.4,,3.4,2.2,,,1.2,21.9,30.7,,21.1,,,,,,
e2016-0014,e2016,Metroscopia,El País,2016-02-03,2016-02-04,1000.0,73.0,False,,,,,,18.5,,,,4.3,,,,,19.9,24.0,,23.3,,,,,,
e2016-0015,e2016,Celeste-Tel,eldiario.es,2016-02-01,2016-02-05,1100.0,66.6,False,,0.8,,0.4,,15.1,,2.7,,3.7,2.0,,1.0,1.2,20.4,28.5,,22.4,,,,,,
e2016-0017,e2016,Simple Lógica,,2016-02-01,2016-02-05,1048.0,75.6,False,,,,,,18.9,,,,5.1,,,,,20.3,26.9,,21.7,,,,,,
e2016-0020,e2016,GAD3,ABC,2016-02-08,2016-02-11,800.0,68.0,False,,0.7,,0.3,,14.9,,2.6,,3.3,1.9,,,1.4,21.4,27.9,,20.8,,,,,,
