election,party,bloc,votos,escanos,share_valid,election_date
197706,UCD,right,6310391,165,0.3443722071630111,1977-06-15
197706,PSOE,left,5371866,118,0.29315479040901515,1977-06-15
197706,IU,left,1709890,20,0.09331253694199947,1977-06-15
197706,PP,right,1504771,16,0.08211873250720776,1977-06-15
197706,OTHER,other,1338400,1,0.0730394934429537,1977-06-15
197706,PSP,left,816582,6,0.04456271341499852,1977-06-15
197706,JUNTS,periph_right,687438,13,0.037515035335801854,1977-06-15
197706,PNV,periph_right,296193,8,0.01616391712593304,1977-06-15
197706,ERC,periph_left,143954,1,0.007855893035779256,1977-06-15
197706,EE,periph_left,61417,1,0.00335166360489083,1977-06-15
197706,CAIC,periph_right,37183,1,0.002029159806253248,1977-06-15
197903,UCD,right,6268593,168,0.3484310275491825,1979-03-01
197903,PSOE,left,5469813,121,0.30403195168227964,1979-03-01
197903,IU,left,1938487,23,0.10774810508526109,1979-03-01
197903,OTHER,other,1205187,0,0.06698864399059191,1979-03-01
197903,PP,right,1088578,10,0.060507094830918824,1979-03-01
197903,JUNTS,periph_right,483353,8,0.026866504566332508,1979-03-01
197903,UN,right,378964,1,0.021064187118887506,1979-03-01
197903,PA,periph_left,325842,5,0.018111474597039674,1979-03-01
197903,PNV,periph_right,296597,7,0.016485931927308867,1979-03-01
197903,BILDU,periph_left,172110,3,0.00956649508932703,1979-03-01
197903,ERC,periph_left,123452,1,0.0068619078017988526,1979-03-01
197903,EE,periph_left,85677,1,0.004762236940144512,1979-03-01
197903,UPC,periph_left,58953,1,0.0032768205508168983,1979-03-01
197903,PAR,periph_right,38042,1,0.0021145116854812554,1979-03-01
198210,PSOE,left,10127392,202,0.4811103903945447,1982-10-28
198210,PP,right,5548107,107,0.26356755270465543,1982-10-28
198210,UCD,right,1425093,11,0.06770025783326376,1982-10-28
198210,IU,left,846515,4,0.04021441671506721,1982-10-28
198210,OTHER,other,782757,0,0.03718553857242443,1982-10-28
198210,JUNTS,periph_right,772726,12,0.03670900736616248,1982-10-28
198210,CDS,right,604309,2,0.02870821420844941,1982-10-28
198210,PNV,periph_right,395656,8,0.01879597557021037,1982-10-28
198210,BILDU,periph_left,210601,2,0.010004780038876889,1982-10-28
198210,ERC,periph_left,138118,1,0.006561413333315598,1982-10-28
198210,EE,periph_left,100326,1,0.004766072156259291,1982-10-28
198606,PSOE,left,8901718,184,0.4406154377988646,1986-06-22
198606,PP,right,5247677,105,0.25974845516135564,1986-06-22
198606,CDS,right,1861912,19,0.09216054373132912,1986-06-22
198606,OTHER,other,1189236,0,0.058864563086156015,1986-06-22
198606,JUNTS,periph_right,1014258,18,0.05020353741951844,1986-06-22
198606,IU,left,935504,7,0.046305387850141856,1986-06-22
198606,PNV,periph_right,309610,6,0.015325013182501004,1986-06-22
198606,BILDU,periph_left,231722,5,0.011469728706035005,1986-06-22
198606,EE,periph_left,107053,2,0.005298887749834566,1986-06-22
198606,CG,periph_right,79972,1,0.003958437887119183,1986-06-22
198606,PAR,periph_right,73004,1,0.003613537231921783,1986-06-22
198606,CC,periph_right,65664,1,0.003250223395936003,1986-06-22
198606,UV,periph_right,64403,1,0.00318780667288722,1986-06-22
198910,PSOE,left,8115568,175,0.3960034121735665,1989-10-29
198910,PP,right,5285972,107,0.25793178600116856,1989-10-29
198910,IU,left,1858588,17,0.09069077972420964,1989-10-29
198910,CDS,right,1617716,14,0.07893730370169694,1989-10-29
198910,OTHER,other,1233537,0,0.060191087184821156,1989-10-29
198910,JUNTS,periph_right,1032243,18,0.05036884050411244,1989-10-29
198910,PNV,periph_right,254681,5,0.012427293445853214,1989-10-29
198910,BILDU,periph_left,217278,4,0.010602194373856294,1989-10-29
198910,PA,periph_left,212687,2,0.010378174112392297,1989-10-29
198910,UV,periph_right,144924,2,0.007071642860467924,1989-10-29
198910,EA,periph_left,136955,2,0.006682791311000141,1989-10-29
198910,EE,periph_left,105238,2,0.0051351436018183556,1989-10-29
198910,PAR,periph_right,71733,1,0.0035002494915262177,1989-10-29
198910,CC,periph_right,64767,1,0.003160339854985551,1989-10-29
199306,PSOE,left,9150083,159,0.38786650137627776,1993-06-06
199306,PP,right,8201463,141,0.34765507154164516,1993-06-06
199306,IU,left,2253722,18,0.0955339167103454,1993-06-06
199306,JUNTS,periph_right,1165783,17,0.04941683846736048,1993-06-06
199306,OTHER,other,936183,0,0.039684232903455394,1993-06-06
199306,CDS,right,414740,0,0.01758057853472995,1993-06-06
199306,PNV,periph_right,291448,5,0.012354304992983496,1993-06-06
199306,CC,periph_right,207077,4,0.008777869174027762,1993-06-06
199306,BILDU,periph_left,206876,2,0.00876934890521964,1993-06-06
199306,ERC,periph_left,189632,1,0.00803838614239743,1993-06-06
199306,PAR,periph_right,144544,1,0.006127133007966451,1993-06-06
199306,EA,periph_left,129293,1,0.005480652313475526,1993-06-06
199306,UV,periph_right,112341,1,0.004762067254593474,1993-06-06
199603,PP,right,9716006,156,0.38792218052695737,1996-03-03
199603,PSOE,left,9425678,141,0.37633051715951704,1996-03-03
199603,IU,left,2639774,21,0.10539586803243724,1996-03-03
199603,JUNTS,periph_right,1151633,16,0.045980208794313374,1996-03-03
199603,OTHER,other,553943,0,0.02211678095378331,1996-03-03
199603,PNV,periph_right,318951,5,0.012734467990371104,1996-03-03
199603,CC,periph_right,220418,4,0.008800430051956626,1996-03-03
