cycle,party,actual_share,model_q05,model_q50,model_q95,poll_avg,last_election,actual_seats,seats_q05,seats_q50,seats_q95,seats_poll_avg,seats_last_election
e2023,PP,33.05576896257697,30.179205626853488,32.90463150441714,35.73000182805419,33.33714285714285,20.805476805643018,137,125.0,135.0,145.0,137,87
e2023,PSOE,31.68215504101229,25.237409892354577,26.50280996023866,27.932400208359056,25.75142857142857,27.999567816742427,121,93.0,100.0,109.0,96,119
e2023,VOX,12.382490388988018,12.799711256854193,14.180508108817374,15.655120334364241,14.522857142857143,15.075210769723164,33,34.0,40.0,47.0,40,51
e2023,SUMAR,12.33386774763067,11.712201077661835,13.320445943069743,14.933404260054145,13.531428571428572,14.947489157081051,31,28.0,35.0,40.0,35,41
e2023,CS,0.0,1.060074664205338,1.554251420319259,2.2075622483997916,0.8,6.803126757651054,0,0.0,0.0,0.0,0,10
e2023,ERC,1.8876310667570153,2.3705804211923054,2.548732890531811,2.71380196554791,2.5461538461538464,3.6064423172211915,7,8.0,10.0,12.0,11,13
e2023,JUNTS,1.6016996375620356,1.7413556126395138,1.8524331869627346,1.9735814859498002,2.2,2.1857532215461077,7,7.0,8.0,9.0,8,8
e2023,PNV,1.1231692435302905,1.337447084211454,1.423559493180589,1.5048077219246119,1.512,1.5623647366163762,5,5.0,6.0,7.0,6,6
e2023,BILDU,1.3574522805270413,1.0977411619303579,1.2061037143860667,1.3358540506058147,1.396,1.1444405584777255,6,4.0,5.0,6.0,6,5
e2023,BNG,0.6237623838574451,0.6561826308677151,0.7740547113776177,0.9225421783349177,0.9000000000000001,0.4965572918186769,1,1.0,2.0,2.0,2,1
e2023,CC,0.4713325904919243,0.3424307393805913,0.399326919479415,0.4547426695717922,0.4411764705882353,0.5123581161822702,1,0.0,1.0,2.0,1,2
