cycle,method,vote_mae_pp,vote_crps_pp,vote_cover90,seat_mae,seat_cover90,p_right_majority,y_right_majority,p_pp_largest,y_pp_largest,brier
e2016,model,1.1198181685511779,0.8883420166808387,0.5555555555555556,5.111111111111111,0.7777777777777778,0.0055,0.0,0.9999,1.0,1.5129999999999997e-05
e2016,last_election,1.0684492671491665,1.0684492671491665,0.0,4.777777777777778,0.5555555555555556,0.0,0.0,1.0,1.0,0.0
e2016,poll_average_30d,1.1750941071651213,1.1750941071651217,0.0,5.222222222222222,0.3333333333333333,0.0,0.0,1.0,1.0,0.0
e2019apr,model,0.8500949211267924,0.8354833471393162,0.3,3.8,0.7,0.2069,0.0,0.0003,0.0,0.021403850000000002
e2019apr,last_election,4.436359000959479,4.436359000959478,0.0,19.8,0.0,0.0,0.0,1.0,0.0,0.5
e2019apr,poll_average_30d,0.9442419274255709,0.9442419274255703,0.0,4.2,0.2,0.0,0.0,0.0,0.0,0.0
e2019nov,model,1.23302463869392,1.0310932293164339,0.5454545454545454,5.2727272727272725,0.8181818181818182,0.0089,0.0,0.0393,0.0,0.00081185
e2019nov,last_election,2.0237327461492542,2.023732746149254,0.0,10.272727272727273,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
e2019nov,poll_average_30d,1.4366290346749944,1.4366290346749944,0.0,6.636363636363637,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
e2023,model,1.0232001874564176,0.887441182766853,0.18181818181818182,3.727272727272727,0.7272727272727273,0.6637,0.0,0.9998,1.0,0.22024886499999996
e2023,last_election,2.8332409633048328,2.8332409633048328,0.0,9.090909090909092,0.09090909090909091,0.0,0.0,0.0,1.0,0.5
e2023,poll_average_30d,1.1218748450582128,1.1218748450582128,0.0,3.909090909090909,0.36363636363636365,1.0,0.0,1.0,1.0,0.5
