party,pollster,n_polls,mean_pp,q05_pp,q95_pp
PP,40dB,33,-0.6322995272209846,-1.0080750813704975,-0.2733377151006221
PP,Ateneo del Dato,2,-0.9447441694175591,-2.1011594275592205,0.20119056203966326
PP,CIS,35,-2.12367675113974,-2.4367358531340058,-1.8101827577122194
PP,Celeste-Tel,12,1.1935631152681243,0.5055362444883337,1.8976061130407749
PP,Cluster17,2,-0.8219389337308798,-2.044653394243987,0.3867736298742041
PP,DYM,18,1.7570862543803678,1.1744985340569143,2.3596991341220814
PP,Data10,3,1.1253298463353851,0.034033398796873934,2.21425722730748
PP,Demoscopia y Servicios,1,2.166641191653998,0.8257746833133874,3.5416994387497494
PP,EM-Analytics,163,-0.21928866548976142,-0.47245027262621914,0.03424040596042518
PP,GAD3,11,0.13933681653423965,-0.5816683936886283,0.8568853260963842
PP,GESOP,10,-1.4208273740097177,-2.2050635946437036,-0.6492235632709057
PP,Hamalgama Métrica,20,1.2449564759412919,0.6666184619545571,1.8265734752351068
PP,InvyMark,18,1.6933544822159423,1.1133230429187981,2.2717817452509528
PP,Ipsos,4,-0.10327606006949126,-1.0996145414435476,0.9176071288186196
PP,KeyData,23,0.4934703430226366,-0.05243950654269361,1.02865853655452
PP,More in Common,3,-1.5044521118743908,-2.4516737762775924,-0.560369682652081
PP,NC Report,22,1.6010405278751465,1.040377827312522,2.166472374687951
PP,ODEC,1,-1.672691087943657,-3.2137844456492948,-0.192163640273079
PP,Opina 360,2,-2.5796781887731086,-3.9740989094735184,-1.250926741756623
PP,Sigma Dos,35,1.0408300489283702,0.6775980864332045,1.40447941923516
PP,Simple Lógica,14,-0.4590360787119723,-1.1607176970485487,0.23681101083497916
PP,SocioMétrica,31,1.555910971566469,1.1447168228211253,1.9716281112522025
PP,Sondaxe,2,-0.466351179460651,-1.8894427538806384,0.9433990417292633
PP,Sumar,1,-0.8272439076059086,-2.536966918707584,0.8801067967998294
PP,Target Point,24,-0.23601603827414921,-0.776418036767927,0.301933778055104
PSOE,40dB,33,0.6846780017808387,0.36474306808752877,1.004420302346398
PSOE,Ateneo del Dato,2,-0.0856458531058489,-0.9474939436939367,0.7463445196475021
PSOE,CIS,35,0.8937668365032132,0.6540842955007644,1.1497102104876067
PSOE,Celeste-Tel,12,-0.21306035843657117,-0.7716300131178846,0.34730896918105
PSOE,Cluster17,2,0.5389691955866616,-0.2968476300627559,1.383081611289437
PSOE,DYM,18,0.07174010326953632,-0.4677941199156713,0.5872738698985926
PSOE,Data10,3,-0.28072760849989387,-1.0889393852443605,0.48043365519053716
PSOE,Demoscopia y Servicios,1,-0.12308372361365605,-1.0116819060319149,0.7312416792562471
PSOE,EM-Analytics,163,0.45522579080414116,0.24541531144193682,0.6723026031603095
PSOE,GAD3,11,-0.5805425342638577,-1.1919522521471129,0.01652767437401105
PSOE,GESOP,10,-0.7097951805467269,-1.3299100535006911,-0.09616774240052786
PSOE,Hamalgama Métrica,20,-0.5829512273719052,-1.104859663255912,-0.07243545923963589
PSOE,InvyMark,18,1.1959920983939685,0.7133687748356634,1.6924519420586273
PSOE,Ipsos,4,0.43244169542324934,-0.27834601869933406,1.1727818988645378
PSOE,KeyData,23,-0.19399007513753042,-0.6477596791858665,0.2639587457673125
PSOE,More in Common,3,0.004771953048373298,-0.6993795706147389,0.7122380035061388
PSOE,NC Report,22,-0.6545555474128056,-1.1359982341397923,-0.192296113419056
PSOE,ODEC,1,0.1127152951264248,-0.8240095423749612,1.065000841320777
PSOE,Opina 360,2,0.5768058386276337,-0.3294670698203525,1.5234565714704853
PSOE,Sigma Dos,35,-0.3704998358878481,-0.6724724678178615,-0.07417925108910634
PSOE,Simple Lógica,14,-0.07212710693854153,-0.6404958178652747,0.498466063264951
PSOE,SocioMétrica,31,-0.8488748347443622,-1.1955005884150929,-0.49675109270763734
PSOE,Sondaxe,2,-0.4098802931849581,-1.3722358323514634,0.4978747045975663
PSOE,Sumar,1,0.34364973333103604,-0.6335640442775099,1.354538539922393
PSOE,Target Point,24,-0.18502236275057093,-0.6311942672832485,0.2643747443834779
VOX,40dB,33,-0.04567806367912561,-0.3246640901176201,0.22229936990517024
VOX,Ateneo del Dato,2,0.25315763813280473,-0.41414214707834096,0.938928424074496
VOX,CIS,35,0.39317078393936383,0.1657764594418243,0.6218063779141368
VOX,Celeste-Tel,12,-0.3493209245816652,-0.8315595050658323,0.09453197387120879
VOX,Cluster17,2,-0.33993929561091357,-1.066366802605254,0.32814022335649884
VOX,DYM,18,-0.7557258562856972,-1.2159731598253833,-0.303810976883007
VOX,Data10,3,-0.021726783083738682,-0.655883012479305,0.5899578765678695
VOX,Demoscopia y Servicios,1,-0.06468811941892995,-0.7648329646056914,0.6230391739455702
VOX,EM-Analytics,163,0.18447114540513168,-0.00046590627225672734,0.36128418885699387
VOX,GAD3,11,0.44256583803607924,-0.021529073066791866,0.9264907654682847
VOX,GESOP,10,0.3465454169119726,-0.15519459456781717,0.8423077566852806
VOX,Hamalgama Métrica,20,0.20165751226662695,-0.1770773939892163,0.5838806431347605
VOX,InvyMark,18,-0.5898795717621024,-1.00193889366235,-0.1909145091486607
VOX,Ipsos,4,0.23293788086913061,-0.3512222151939217,0.8246880538400216
VOX,KeyData,23,-0.10020167732827114,-0.4756597957179138,0.2707962012214505
VOX,More in Common,3,0.04739477420621082,-0.510228512637185,0.6297804545635461
VOX,NC Report,22,-0.28166340913980137,-0.6688702689942385,0.09579378550072269
VOX,ODEC,1,0.2755961652533151,-0.44569250632136526,1.0347843352715207
VOX,Opina 360,2,0.5152052351140196,-0.19884215657033616,1.2957487454367338
VOX,Sigma Dos,35,-0.7895736855158653,-1.0685195294040246,-0.5118168547422777
VOX,Simple Lógica,14,0.3305511762405032,-0.07248624613728905,0.7443997005352909
VOX,SocioMétrica,31,-0.21112638385601107,-0.5139130257628008,0.09034478507608759
VOX,Sondaxe,2,0.26111077913406183,-0.39635913186456817,0.9775304433835141
VOX,Sumar,1,-0.06885611124209805,-0.8385161257359429,0.6866192876405957
VOX,Target Point,24,0.13401553599499935,-0.24453562031272863,0.5118441838652599
SUMAR,40dB,33,-0.4429896190479502,-0.6382506304654494,-0.23975250490789715
SUMAR,Ateneo del Dato,2,-0.016675203694970425,-0.5929895297141031,0.556644431953116
SUMAR,CIS,35,0.19482569084161025,0.03076435313148798,0.3591133781789534
SUMAR,Celeste-Tel,12,-0.04199634858109904,-0.4084310066528101,0.3119402126241508
SUMAR,Cluster17,2,-0.49719875076003844,-1.092234108254947,0.09648102215167507
SUMAR,DYM,18,-0.459168464933635,-0.7726180528047226,-0.13888738717370558
SUMAR,Data10,3,-0.24802285584886338,-0.7920150745462429,0.2858316323636731
SUMAR,Demoscopia y Servicios,1,-0.39287178939929057,-1.0659320761780682,0.2445705046343707
SUMAR,EM-Analytics,163,-0.5643282901680562,-0.7012118134333236,-0.426641312095866
SUMAR,GAD3,11,0.1950045643504421,-0.18483310793303245,0.5750796214478503
SUMAR,GESOP,10,1.387501824609565,0.9650703783080217,1.8164096395245861
SUMAR,Hamalgama Métrica,20,-0.48746430498993976,-0.7879999732291145,-0.18078848446154888
SUMAR,InvyMark,18,-0.942061995558187,-1.267245957322351,-0.6176858469093109
SUMAR,Ipsos,4,-0.04525546863983728,-0.547728217127851,0.45627427383926844
SUMAR,KeyData,23,0.11343246649044661,-0.17700423749167998,0.39701710280914787
SUMAR,More in Common,3,0.8589140685808577,0.3649200708841496,1.3640842783003595
SUMAR,NC Report,22,-0.7157148410793926,-0.9950196152073765,-0.4240940532431593
SUMAR,ODEC,1,0.3616615510344779,-0.3516971882831635,1.1046881254271583
SUMAR,Opina 360,2,-0.27733355270209553,-0.922854396305797,0.36372575524884515
SUMAR,Sigma Dos,35,0.5669305559314693,0.37546831971852934,0.7561165035308727
SUMAR,Simple Lógica,14,0.8051347708518418,0.42340690198355196,1.1872447608747145
SUMAR,SocioMétrica,31,-0.05964047130656544,-0.27853974268983756,0.15143510511440114
SUMAR,Sondaxe,2,0.604542758301448,-0.09673838601276535,1.3283546384804987
SUMAR,Sumar,1,-0.04370163359027609,-0.8552696226337614,0.757789000018346
SUMAR,Target Point,24,0.1464753393080385,-0.13087219630583388,0.43426354024732006
PODEMOS,40dB,33,-0.5130793104252849,-0.6732619604340729,-0.35307711093267624
PODEMOS,Ateneo del Dato,2,0.26467139878217055,-0.12577007675934648,0.6641704993980773
PODEMOS,CIS,35,-0.06721137318329772,-0.19363165869846585,0.06195149194478859
PODEMOS,Celeste-Tel,12,0.15017265389427573,-0.10916369542948261,0.4175548602792308
PODEMOS,Cluster17,2,0.24716731295262984,-0.1509025011436566,0.674740960486674
PODEMOS,DYM,18,0.20143513326332296,-0.04285460601091673,0.45326711989109886
PODEMOS,Data10,3,-0.24770786515232765,-0.6878263826586594,0.1564912102155094
PODEMOS,Demoscopia y Servicios,1,0.16343385071798008,-0.28022378825912997,0.6327445774986294
PODEMOS,EM-Analytics,163,0.4574673029666166,0.3543446935353784,0.5597381771203289
PODEMOS,GAD3,11,-0.008255841900287343,-0.28832354560205403,0.26983762844755266
PODEMOS,GESOP,10,-0.213762160757817,-0.5106616164137177,0.0838073724677837
PODEMOS,Hamalgama Métrica,20,0.2587446770925201,0.010809536271054026,0.5172095286864782
PODEMOS,InvyMark,18,-0.10177016471444982,-0.3879845165902474,0.18443916290299917
PODEMOS,Ipsos,4,-0.8593623040016689,-1.2964473489368424,-0.45208858663945406
PODEMOS,KeyData,23,0.04043934660080808,-0.1753874947223545,0.2571786124572288
PODEMOS,More in Common,3,0.05453327610129907,-0.2694370455689669,0.3808636404796863
PODEMOS,NC Report,22,0.3221127937534194,0.09696936371924741,0.5555304634842422
PODEMOS,ODEC,1,0.2199418611483048,-0.22936662486108036,0.6820277522309509
PODEMOS,Opina 360,2,-0.2822466646213969,-0.759724710748062,0.15350619779319366
PODEMOS,Sigma Dos,35,0.22612844182794328,0.07865700553743593,0.3708464745629529
PODEMOS,Simple Lógica,14,-0.2291755576745672,-0.5041680388803923,0.04596727528327018
PODEMOS,SocioMétrica,31,-0.13220571515490148,-0.3145107827862648,0.04741720346550376
PODEMOS,Sondaxe,2,0.07577799443693048,-0.370766425286573,0.520459969954043
PODEMOS,Sumar,1,-0.08237153856429674,-0.5799700219541131,0.40893981425545484
PODEMOS,Target Point,24,0.05512245261207468,-0.15651260003672612,0.2666076218071191
SALF,40dB,33,0.26726009447572086,0.12392636563194993,0.4140957062845046
SALF,Ateneo del Dato,2,0.2158595497521578,-0.16456154989408672,0.6236001933702326
SALF,CIS,35,-0.12915525344533876,-0.2565817253410953,-0.000774415229466293
SALF,Celeste-Tel,12,-0.10471871921026686,-0.35325354741733733,0.13934249829585899
SALF,Cluster17,2,-0.12153984629548807,-0.4585561823691661,0.1985628683497896
SALF,DYM,18,-0.7863294675857401,-1.0121670528964086,-0.5583468198539302
SALF,Data10,3,0.27931492431837984,-0.1234795779358225,0.7285143086346437
SALF,Demoscopia y Servicios,1,0.025928708575856465,-0.3422744043244451,0.3850799616030626
SALF,EM-Analytics,163,0.18631595507005144,0.09244534817276785,0.27852033078918
SALF,GAD3,11,-0.1689111981933899,-0.4623331616890177,0.11009468581784547
SALF,GESOP,10,-0.03907994398337174,-0.3011684349983762,0.22813294365760456
SALF,Hamalgama Métrica,20,-0.12838942753004123,-0.3480232208679421,0.08879164073663373
SALF,InvyMark,18,-0.024201439290935996,-0.24980717789532214,0.20027056332330267
SALF,Ipsos,4,-0.0684850550674714,-0.37059990159773853,0.22651684640607114
SALF,KeyData,23,-0.0373496915712206,-0.24728325144878419,0.1700154316936856
SALF,More in Common,3,0.1262972375085042,-0.16426586925670253,0.41792681865893627
SALF,NC Report,22,0.21126693878523098,-0.14206471890351074,0.5734447028374238
SALF,ODEC,1,-0.16190711469044072,-0.5722224188794364,0.21511450817007127
SALF,Opina 360,2,0.03196826656012091,-0.30032957987187564,0.3718560141170239
SALF,Sigma Dos,35,-0.010876996006300788,-0.16379887156649653,0.14525780983184947
SALF,Simple Lógica,14,-0.08280509223628041,-0.4663009495316903,0.28705197677227706
SALF,SocioMétrica,31,0.3092608075576896,0.15680020980815942,0.4667503355035729
SALF,Sondaxe,2,0.0,0.0,0.0
SALF,Sumar,1,0.0,0.0,0.0
SALF,Target Point,24,0.2102767625025745,0.027346628978521963,0.3913520750114252
ERC,40dB,33,0.0,0.0,0.0
ERC,Ateneo del Dato,2,0.0,0.0,0.0
ERC,CIS,35,0.023739731822330634,-0.048118493710674906,0.10481217170374213
ERC,Celeste-Tel,12,0.003269481320879063,-0.10380908417776237,0.10931030182860749
ERC,Cluster17,2,-0.013194060169866585,-0.1455655739952737,0.10570265276903873
ERC,DYM,18,0.0,0.0,0.0
ERC,Data10,3,0.0006614296625158869,-0.12054953844598502,0.12593585739468355
ERC,Demoscopia y Servicios,1,-0.027041664881119382,-0.1615122095046885,0.08486464753298716
ERC,EM-Analytics,163,0.02164151937106322,-0.030354274376406143,0.07624436860496762
ERC,GAD3,11,0.01981455177000496,-0.08516690955333012,0.14034365929050438
ERC,GESOP,10,0.023445929434807566,-0.07945818956369778,0.13467622006978258
ERC,Hamalgama Métrica,20,-0.019766833819090546,-0.11754370983468629,0.06892403772082993
ERC,InvyMark,18,-0.019838010492480813,-0.15521298580413567,0.0985423451063472
ERC,Ipsos,4,0.014232163445992253,-0.10202592699469193,0.14604456568619478
ERC,KeyData,23,-0.007265815004525898,-0.10286159964001669,0.08559564733685818
ERC,More in Common,3,0.0,0.0,0.0
ERC,NC Report,22,-0.018915345720851524,-0.11367595153149448,0.07163097541680605
ERC,ODEC,1,0.03585497375780373,-0.08454528561809546,0.18700493012267677
ERC,Opina 360,2,-0.004184491727791081,-0.12772645344788489,0.11907283522276049
ERC,Sigma Dos,35,0.08997943295753409,0.007988838958725798,0.1758695191936598
ERC,Simple Lógica,14,0.0,0.0,0.0
ERC,SocioMétrica,31,-0.0976577759439558,-0.1944599530759235,-0.007485625516496914
ERC,Sondaxe,2,-0.024775215783249774,-0.16880276490637394,0.10033444904179638
ERC,Sumar,1,0.0,0.0,0.0
ERC,Target Point,24,0.0,0.0,0.0
JUNTS,40dB,33,0.0,0.0,0.0
JUNTS,Ateneo del Dato,2,0.0,0.0,0.0
JUNTS,CIS,35,-0.21834271659865717,-0.3120647151269508,-0.12269235872421344
JUNTS,Celeste-Tel,12,0.0910816032245708,-0.055190960704584506,0.24425364208541436
JUNTS,Cluster17,2,0.07933893632987592,-0.11854598868928144,0.28906479890904035
JUNTS,DYM,18,0.0,0.0,0.0
JUNTS,Data10,3,-0.031218077711822063,-0.22104740236147752,0.1595882380878058
JUNTS,Demoscopia y Servicios,1,-0.1311282387495441,-0.36402587186188634,0.07805666785387791
JUNTS,EM-Analytics,163,0.21307533752270724,0.15159662568031015,0.2763237606142803
JUNTS,GAD3,11,0.0021613469935453863,-0.16609632488767187,0.17546484788996572
JUNTS,GESOP,10,-0.13707869251616867,-0.3044365775639238,0.02234199223664308
JUNTS,Hamalgama Métrica,20,0.10963126152188152,-0.017543012014301026,0.2386883761772083
JUNTS,InvyMark,18,-0.05043703184500148,-0.2770407062890049,0.16994140559900991
JUNTS,Ipsos,4,-0.08685496951357673,-0.2758064393113787,0.0977134183021158
JUNTS,KeyData,23,0.02689619415998482,-0.09896896901706034,0.15493637424431186
JUNTS,More in Common,3,0.0,0.0,0.0
JUNTS,NC Report,22,0.18784173316789077,0.06422832571024269,0.31220351264787755
JUNTS,ODEC,1,0.03980420496896154,-0.1829809085571359,0.2656197012182233
JUNTS,Opina 360,2,-0.05187175473028947,-0.29037956011809185,0.1713252337579334
JUNTS,Sigma Dos,35,-0.09300437025379138,-0.17462232842229988,-0.011170466591074653
JUNTS,Simple Lógica,14,0.0,0.0,0.0
JUNTS,SocioMétrica,31,0.205573628433533,0.10898933120502827,0.30708536927752145
JUNTS,Sondaxe,2,-0.15546839440409996,-0.43001716010000224,0.08145509708536611
JUNTS,Sumar,1,0.0,0.0,0.0
JUNTS,Target Point,24,0.0,0.0,0.0
BILDU,40dB,33,0.0,0.0,0.0
BILDU,Ateneo del Dato,2,0.0,0.0,0.0
BILDU,CIS,35,-0.20855904198545291,-0.29641571185652277,-0.12132094306537335
BILDU,Celeste-Tel,12,0.03024187398874697,-0.09324534524265833,0.1550424684750388
BILDU,Cluster17,2,-0.10136856325951656,-0.29918713224254756,0.07987650821669985
BILDU,DYM,18,0.0,0.0,0.0
BILDU,Data10,3,-0.026384916961644283,-0.18968668430155627,0.13794988997720412
BILDU,Demoscopia y Servicios,1,0.0018441635797887155,-0.18684307626814486,0.19231364688852248
BILDU,EM-Analytics,163,0.10996127952996694,0.05445447166903115,0.1646600295846897
BILDU,GAD3,11,0.007825609386183475,-0.1383565917154576,0.15379923735858653
BILDU,GESOP,10,0.0,0.0,0.0
