,q05,q25,q50,q75,q95,mean,cutoff_date
PP,107.0,124.0,136.0,148.0,165.0,135.963,2026-09-18
PSOE,78.0,93.0,104.0,116.0,134.0,104.8608,2026-09-18
VOX,42.0,55.0,65.0,75.0,92.0,65.5893,2026-09-18
SUMAR,4.0,6.0,9.0,12.0,21.0,10.0893,2026-09-18
ERC,6.0,7.0,8.0,9.0,11.0,7.7824,2026-09-18
BILDU,5.0,6.0,7.0,8.0,9.0,6.9386,2026-09-18
PNV,3.0,4.0,5.0,6.0,6.0,4.7046,2026-09-18
JUNTS,2.0,3.0,4.0,5.0,7.0,4.2821,2026-09-18
PODEMOS,0.0,2.0,2.0,4.0,6.0,2.6214,2026-09-18
OTHER,1.0,2.0,2.0,3.0,5.0,2.5164,2026-09-18
BNG,1.0,2.0,2.0,2.0,3.0,1.9112,2026-09-18
CC,0.0,1.0,1.0,2.0,3.0,1.3393,2026-09-18
UPN,1.0,1.0,1.0,1.0,1.0,1.0003,2026-09-18
SALF,0.0,0.0,0.0,0.0,2.0,0.4013,2026-09-18
