,q05,q25,q50,q75,q95,mean,cutoff_date
PP,130.0,134.0,137.0,140.0,144.0,137.0701,2026-09-18
PSOE,99.0,103.0,106.0,109.0,113.0,105.6055,2026-09-18
VOX,59.0,63.0,66.0,68.0,73.0,65.7484,2026-09-18
SUMAR,6.0,8.0,9.0,10.0,12.0,9.0562,2026-09-18
ERC,6.0,7.0,8.0,8.0,9.0,7.6693,2026-09-18
BILDU,6.0,6.0,7.0,7.0,8.0,6.9153,2026-09-18
PNV,4.0,4.0,5.0,6.0,6.0,4.8929,2026-09-18
JUNTS,3.0,4.0,4.0,5.0,6.0,4.1981,2026-09-18
OTHER,1.0,2.0,2.0,3.0,4.0,2.4757,2026-09-18
PODEMOS,2.0,2.0,2.0,3.0,4.0,2.2969,2026-09-18
BNG,1.0,2.0,2.0,2.0,2.0,1.9446,2026-09-18
CC,1.0,1.0,1.0,1.0,2.0,1.1165,2026-09-18
UPN,1.0,1.0,1.0,1.0,1.0,1.0,2026-09-18
SALF,0.0,0.0,0.0,0.0,0.0,0.0105,2026-09-18
