,q05,q50,q95
PP,0.2529483551633699,0.32259337912280206,0.4046483669336867
PSOE,0.19710822566661526,0.25768737872088077,0.33397099849385137
VOX,0.13331464260110115,0.18376635098922872,0.25043003124099533
SUMAR,0.04424292943512862,0.06478927575836921,0.09298345879890219
PODEMOS,0.01944955016117635,0.032416200423947036,0.05269667846848185
SALF,0.00880660201527075,0.018387345565713902,0.038733919374889056
ERC,0.01496822812245312,0.018960771528216548,0.024056591052242903
JUNTS,0.00835082963886005,0.01141882952589771,0.01578949450990298
BILDU,0.01015448791370757,0.013079498065766075,0.016677387279858905
PNV,0.007256114114782694,0.009383937244477556,0.012058671162264159
BNG,0.005616702831633403,0.0075443834438207414,0.010128042391242917
CC,0.0019498608352160802,0.004051188130345131,0.008342981799112638
